,AAAAF,AAAF,AAAGnF,AAF,AAGnF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,AMF,GnGnF,GnGnGnF,GnGnGnGnF,Man5,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaMF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF
Exp,0,0,0,0,0,0,0,0.004,0,0.001,0.421,0.229,0.142,0,0.068,0.03,0,0,0,0,0.014,0.014,0.015,0.021,0,0,0,0,0,0.008,0,0,0,0
ANN-2,0,0,0,0.015,0.009,0,0.02,0.003,0,0.016,0.337,0.231,0.124,0,0.055,0.027,0,0.01,0.009,0,0.014,0.04,0.041,0,0,0.009,0.005,0.01,0.009,0.024,0,0,0,0.011
ANN-3,0,0,0.005,0.009,0.005,0.005,0.016,0.02,0.014,0.009,0.281,0.207,0.14,0,0.051,0.023,0,0.009,0.006,0.009,0.014,0.044,0.039,0.033,0.006,0.006,0.006,0.01,0.009,0.022,0.02,0.006,0,0.009
EN/RR/PLS,0.005,0.002,0.009,0.022,0.007,0.003,0.025,0.023,0.013,0.014,0.27,0.19,0.104,0.006,0.044,0.027,-0.001,0.009,0.002,0.012,0.013,0.059,0.058,0.038,0.007,0.007,-0.004,0.009,-0.002,0.021,0.018,-0.001,-0.009,0.009
Our ANN,,,,,,,,,,,0.295,0.235,0.128,,0.052,,,,,,,,,,,,,,,,,,,
Train Mean,0.004,0.008,0.016,0.028,0.008,0.004,0.025,0.021,0.011,0.013,0.188,0.127,0.074,0.002,0.036,0.026,0.014,0.008,0.042,0.01,0.014,0.049,0.044,0.029,0.006,0.011,0.018,0.009,0.057,0.016,0.018,0.013,0.023,0.008
Exp Stdev,0,0,0,0,0,0,0,0.006,0,0.001,0.008,0.014,0.006,0,0.008,0.002,0,0,0,0,0.002,0.001,0.001,0.000999999999999999,0,0,0,0,0,0.007,0,0,0,0
EN/RR/PLS Stdev,0.00000544,0.0000107,0.0000114,0.0000179,0.00000297,0.00000103,0.00000392,0.000000591,0.00000405,0.00000246,0.0000762,0.0000575,0.0000385,0.00000273,0.0000124,0.000000519,0.0000171,0.00000288,0.0000452,0.000000247,0.00000425,0.0000114,0.0000113,0.0000126,0.000000909,0.00000523,0.0000188,0.00000299,0.0000623,0.0000071,0.00000499,0.0000124,0.000028,0.00000302
