,AAF,AAGnF,AGnF,AGnGnF,AGnGnGnF,AMF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,MMF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaMF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF
Exp,0,0,0.013,0.004,0,0,0.429,0.2,0.109,0.169,0.017,0,0,0,0,0,0.023,0.02,0.016,0,0,0,0,0,0,0,0,0
ANN-2,0.003,0.006,0.033,0.016,0.011,0.009,0.324,0.166,0.084,0.151,0.02,0.005,0.006,0.006,0.016,0.009,0.042,0.042,0.025,0.011,0.006,0.006,0.006,0.006,0.022,0.013,0.006,0.006
ANN-3,0.005,0.006,0.025,0.019,0.008,0.01,0.31,0.161,0.078,0.181,0.011,0.006,0.006,0.006,0.02,0.009,0.044,0.044,0.028,0.011,0.006,0.006,0.006,0.006,0.022,0.013,0.006,0.006
EN/RR/PLS,-0.002,0.003,0.046,0.026,0.011,0.012,0.273,0.134,0.063,0.125,0.014,-0.004,0.002,0.019,0.027,0.01,0.06,0.051,0.027,0.015,-0.003,-0.006,0.001,0.058,0.024,0.011,0,-0.006
Our ANN,,,,,,,0.429,0.19,0.105,0.171,,,,,,,,,,,,,,,,,,
Train Mean,0.009,0.002,0.041,0.022,0.009,0.011,0.188,0.085,0.04,0.102,0.009,0.015,0.002,0.057,0.024,0.009,0.05,0.042,0.021,0.013,0.005,0.037,0.002,0.12,0.02,0.009,0.012,0.043
Exp Stdev,0,0,0.002,0.007,0,0,0.009,0.016,0.004,0.025,0.005,0,0,0,0,0,0.003,0.004,0.001,0,0,0,0,0,0,0,0,0
EN/RR/PLS Stdev,0.0000088,0.000000791,0.000014,0.00000868,0.00000385,0.00000369,0.0000923,0.0000407,0.0000208,0.0000469,0.00000476,0.0000122,0.000000736,0.0000454,0.00000909,0.00000327,0.0000198,0.0000161,0.00000855,0.00000477,0.00000599,0.0000378,0.000000479,0.0001,0.00000782,0.00000344,0.0000149,0.0000594
