,AAAF,AAF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF,NaNaNaNaF,NaNaNaNaF+LacNAc
Exp,0,0,0,0,0,0.017,0.123,0.333,0.435,0.027,0,0,0,0,0,0,0,0.02,0.045,0,0,0,0,0,0,0,0,0,0,0
ANN-2,0.006,0,0,0.006,0.023,0,0.098,0.344,0.411,0,0,0,0.009,0,0.012,0,0.013,0.032,0,0,0,0,0,0,0.015,0.013,0.007,0,0.009,0
ANN-3,0,0,0.007,0,0.018,0.032,0.092,0.303,0.372,0.021,0,0,0.007,0,0.007,0.012,0.009,0.024,0.054,0,0,0.009,0,0,0.009,0.007,0,0.007,0.009,0
EN/RR/PLS,-0.003,0.002,0.007,0.007,0.024,0.03,0.07,0.198,0.184,0.011,-0.002,0.001,0.014,0.002,0.019,0.032,0.017,0.063,0.069,0.002,0.013,0.032,0.01,0.038,0.048,0.008,0.004,0.046,0.026,0.009
Our ANN,,,,,,,0.126,0.330,0.425,,,,,,,,,,0.045,,,,,,,,,,,
Train Mean,0.004,0.005,0.006,0.006,0.02,0.027,0.049,0.14,0.152,0.009,0.006,0.01,0.01,0.01,0.016,0.025,0.013,0.046,0.055,0.025,0.03,0.024,0.014,0.029,0.04,0.055,0.043,0.038,0.071,0.017
Exp Stdev,0,0,0,0,0,0.004,0.013,0.007,0.017,0.004,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0
EN/RR/PLS Stdev,0.00000593,0.00000617,0.00000214,0.000000853,0.00000484,0.0000102,0.0000239,0.0000657,0.0000643,0.00000367,0.00000866,0.0000135,0.000000392,0.0000134,0.00000162,0.00000542,0.0000026,0.0000137,0.0000231,0.0000249,0.0000327,0.00000466,0.0000109,0.00000556,0.000015,0.0000483,0.0000342,0.0000126,0.0000468,0.0000182
