,Man5,AA,AGn,GnGn,MGn,MM,NaA,NaGn,NaNa,AAF,AGnF,AMF,GnGnF,MGnF,MMF,NaAF,NaGnF,NaNaF
Exp,0.014,0,0,0.266,0.063,0,0,0,0,0,0,0,0.525,0.12,0.009,0,0,0
ANN-2,0.014,0,0.01,0.208,0.064,0.01,0,0.011,0,0,0.022,0,0.489,0.125,0.017,0,0.024,0
ANN-3,0.01,0,0.01,0.206,0.062,0.008,0,0.011,0,0,0.024,0,0.495,0.126,0.017,0,0.024,0
EN/RR/PLS,0.019,-0.004,0.014,0.197,0.055,0.007,0,0.019,0.005,-0.007,0.033,0.002,0.467,0.119,0.014,-0.007,0.036,0.003
Our ANN,,,,0.269,0.062,,,,,,,,0.505,0.12,,,,
Train Mean,0.017,0.009,0.02,0.144,0.046,0.006,0.037,0.025,0.025,0.022,0.043,0.003,0.332,0.097,0.012,0.068,0.048,0.043
Exp Stdev,0.001,0,0,0.036,0.005,0,0,0,0,0,0,0,0.008,0.024,0.008,0,0,0
EN/RR/PLS Stdev,0.00000274,0.0000126,0.00000294,0.0000663,0.0000207,0.00000246,0.0000486,0.0000133,0.0000335,0.000023,0.00000124,0.000000775,0.00015,0.0000445,0.00000525,0.0000828,0.0000168,0.0000571
