,Man5,AA,AGn,GnGn,MGn,MM,NaA,NaGn,NaNa,AAF,AGnF,AMF,GnGnF,MGnF,MMF,NaAF,NaGnF,NaNaF
Exp,0.014,0,0,0.266,0.063,0,0,0,0,0,0,0,0.525,0.120,0.009,0,0,0
EN/RR/PLS,0.019,-0.004,0.014,0.197,0.055,0.007,0,0.019,0.005,-0.007,0.033,0.002,0.467,0.119,0.014,-0.007,0.036,0.003
EN/RR/PLS Nested,0.0193,-0.00383,0.0139,0.198,0.06,0.0076,0.000458,0.0188,0.00451,-0.00843,0.033,0.00219,0.465,0.132,0.0153,-0.00875,0.0358,0.00337
Our ANN,,,,0.209,0.052,,,,,,,,0.486,0.127,,,,
Our ANN Nested,,,,0.29,0.057,,,,,,,,0.552,0.128,,,,
Train Mean,0.017,0.009,0.02,0.144,0.046,0.006,0.037,0.025,0.025,0.022,0.043,0.003,0.332,0.097,0.012,0.068,0.048,0.043
Exp Stdev,0.001,0,0,0.036,0.005,0,0,0,0,0,0,0,0.008,0.024,0.008,0,0,0
EN/RR/PLS Stdev,0.00000274,0.0000126,0.00000294,0.0000663,0.0000207,0.00000246,0.0000486,0.0000133,0.0000335,0.000023,0.00000124,0.000000775,0.00015,0.0000445,0.00000525,0.0000828,0.0000168,0.0000571
