,AAAF,AAAGnF,AAF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,GnGnF,GnGnGnF,GnGnGnGnF,MgnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF,NaNaNaNaF,NaNaNaNaF+LacNAc
Exp,0,0,0,0,0,0,0.025,0.178,0.248,0.448,0.023,0,0,0,0,0,0,0,0.015,0.059,0,0,0,0,0,0,0,0,0,0,0
EN/RR/PLS,-0.003,0.001,0.003,0.003,0.011,0.021,0.036,0.125,0.165,0.211,0.014,-0.001,-0.001,0.007,0.003,0.01,0.033,0.023,0.05,0.111,-0.016,-0.003,0.023,0.001,0.02,0.08,0,-0.003,0.04,-0.006,0.004
EN/RR/PLS Nested,-0.00257,0.000235,0.0027,0.0028,0.0106,0.0214,0.0362,0.143,0.191,0.241,0.0148,-0.001,-0.00145,0.00793,0.00285,0.0101,0.0319,0.0243,0.0501,0.111,-0.0161,-0.00303,0.0227,0.00114,0.0204,0.0867,-0.0278,-0.00259,0.0401,0.00424,-0.0342
Our ANN,,,,,,,,0.165,0.223,0.351,,,,,,,,,,0.074,,,,,,,,,,,
Our ANN Nested,,,,,,,,0.161,0.24,0.342,,,,,,,,,,0.066,,,,,,,,,,,
Train Mean,0.003,0.003,0.006,0.004,0.009,0.016,0.033,0.101,0.135,0.175,0.01,0.009,0.012,0.006,0.018,0.01,0.031,0.021,0.041,0.085,0.025,0.018,0.022,0.011,0.013,0.069,0.033,0.013,0.029,0.027,0.009
Exp Stdev,0,0,0,0,0,0,0.009,0.026,0.017,0.032,0.005,0,0,0,0,0,0,0,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0
EN/RR/PLS Stdev,0.00000411,0.00000307,0.00000844,0.000000988,0.00000254,0.000000732,0.0000123,0.0000366,0.000051,0.0000719,0.00000482,0.0000121,0.000017,0.00000229,0.0000239,0.00000352,0.00000216,0.00000341,0.0000068,0.0000325,0.000035,0.000024,0.000000314,0.0000148,0.00000381,0.0000137,0.0000425,0.000018,0.00000995,0.0000344,0.0000113
