,AAAF,AAF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF,NaNaNaNaF,NaNaNaNaF+LacNAc
Exp,0,0,0,0,0,0.017,0.123,0.333,0.435,0.027,0,0,0,0,0,0,0,0.020,0.045,0,0,0,0,0,0,0,0,0,0,0
EN/RR/PLS,-0.003,0.002,0.007,0.007,0.024,0.03,0.07,0.198,0.184,0.011,-0.002,0.001,0.014,0.002,0.019,0.032,0.017,0.063,0.069,0.002,0.013,0.032,0.01,0.038,0.048,0.008,0.004,0.046,0.026,0.009
EN/RR/PLS Nested,-0.00273,0.00223,0.00647,0.00695,0.025,0.0304,0.0704,0.201,0.218,0.0122,-0.0018,0.00128,0.0137,0.00216,0.0202,0.0323,0.0176,0.0626,0.0687,0.00186,0.0131,0.0323,0.00981,0.0386,0.0503,0.00799,0.00439,0.0507,0.00772,-0.00389
Our ANN,,,,,,,0.084,0.292,0.36,,,,,,,,,,0.039,,,,,,,,,,,
Our ANN Nested,,,,,,,0.11,0.236,0.315,,,,,,,,,,0.051,,,,,,,,,,,
Train Mean,0.004,0.005,0.006,0.006,0.02,0.027,0.049,0.14,0.152,0.009,0.006,0.01,0.01,0.01,0.016,0.025,0.013,0.046,0.055,0.025,0.03,0.024,0.014,0.029,0.04,0.055,0.043,0.038,0.071,0.017
Exp Stdev,0,0,0,0,0,0.004,0.013,0.007,0.017,0.004,0,0,0,0,0,0,0,0.003,0.001,0,0,0,0,0,0,0,0,0,0,0
EN/RR/PLS Stdev,0.00000593,0.00000617,0.00000214,0.000000853,0.00000484,0.0000102,0.0000239,0.0000657,0.0000643,0.00000367,0.00000866,0.0000135,0.000000392,0.0000134,0.00000162,0.00000542,0.0000026,0.0000137,0.0000231,0.0000249,0.0000327,0.00000466,0.0000109,0.00000556,0.000015,0.0000483,0.0000342,0.0000126,0.0000468,0.0000182
