,Man5,AGn,GnGn,MGn,AAF,AGnF,AMF,GnGnF,MGnF,NaAF,NaGnF,NaNaF
Exp,0.004,0,0.049,0,0,0.010,0,0.904,0.033,0,0,0
EN/RR/PLS,0.009,-0.001,0.059,0.002,-0.014,0.006,0,0.864,0.052,0,0.001,0.002
EN/RR/PLS Nested,0.00929,-0.00257,0.0607,0.00212,-0.0142,0.00637,-0.0000546,0.875,0.0558,0.00031,0.00114,0.000223
Our ANN,,,,,,,,0.849,,,,
Our ANN Nested,,,,,,,,0.887,,,,
Train Mean,0.005,0.001,0.05,0.001,0.042,0.122,0.001,0.708,0.047,0.012,0.004,0.007
Exp Stdev,0.006,0,0.009,0,0,0.01,0,0.015,0.003,0,0,0
EN/RR/PLS Stdev,0.000000436,0.000000937,0.00000885,0.000000488,0.000058,0.000125,0.00000197,0.000191,0.0000103,0.0000152,0.00000512,0.00000962
