,Man5,GnGn,AAF,AGnF,GnGnF,MGnF,NaAF,NaNaF
Exp,0,0.027,0,0.004,0.902,0.036,0,0
EN/RR/PLS,0.006,0.025,-0.012,0,0.875,0.057,0,0.001
EN/RR/PLS Nested,0.00706,0.0256,-0.0117,0.0000987,0.875,0.0567,0.000109,0.00211
Our ANN,,,,,0.885,,,
Our ANN Nested,,,,,0.899,,,
Train Mean,0.005,0.023,0.023,0.116,0.73,0.052,0.004,0.001
Exp Stdev,0,0.006,0,0.007,0.011,0.002,0,0
EN/RR/PLS Stdev,0.000000189,0.00000328,0.0000323,0.000132,0.000154,0.00000907,0.00000563,0.00000118
