,AAF,AAGnF,AGnF,AGnGnF,AGnGnGnF,AMF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,MMF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaMF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF
Exp,0,0,0.013,0.004,0,0,0.429,0.200,0.109,0.169,0.017,0,0,0,0,0,0.023,0.020,0.016,0,0,0,0,0,0,0,0,0
EN/RR/PLS,-0.002,0.003,0.046,0.026,0.011,0.012,0.273,0.134,0.063,0.125,0.014,-0.004,0.002,0.019,0.027,0.01,0.06,0.051,0.027,0.015,-0.003,-0.006,0.001,0.058,0.024,0.011,0,-0.006
EN/RR/PLS Nested,-0.00233,0.00202,0.0441,0.0256,0.0127,0.00888,0.273,0.134,0.0626,0.139,0.0142,-0.00545,0.00165,0.0187,0.0266,0.0103,0.0608,0.0542,0.0306,0.0146,-0.0086,-0.00838,0.00133,0.0584,0.0262,0.012,-0.0101,-0.00647
Our ANN,,,,,,,0.344,0.143,0.098,0.155,,,,,,,,,,,,,,,,,,
Our ANN Nested,,,,,,,0.32,0.171,0.102,0.156,,,,,,,,,,,,,,,,,,
Train Mean,0.009,0.002,0.041,0.022,0.009,0.011,0.188,0.085,0.04,0.102,0.009,0.015,0.002,0.057,0.024,0.009,0.05,0.042,0.021,0.013,0.005,0.037,0.002,0.12,0.02,0.009,0.012,0.043
Exp Stdev,0,0,0.002,0.007,0,0,0.009,0.016,0.004,0.025,0.005,0,0,0,0,0,0.003,0.004,0.001,0,0,0,0,0,0,0,0,0
EN/RR/PLS Stdev,0.0000088,0.000000791,0.000014,0.00000868,0.00000385,0.00000369,0.0000923,0.0000407,0.0000208,0.0000469,0.00000476,0.0000122,0.000000736,0.0000454,0.00000909,0.00000327,0.0000198,0.0000161,0.00000855,0.00000477,0.00000599,0.0000378,0.000000479,0.0001,0.00000782,0.00000344,0.0000149,0.0000594
