,Man5,Man6,Man7,MGn,NaM,NaM+1xHex,NaM+2xHex
Exp,0.153,0.601,0.198,0.049,0,0,0
EN/RR/PLS,0.171,0.625,0.181,0.03,0,0,-0.001
EN/RR/PLS Nested,0.171,0.623,0.181,0.0335,0.0000819,-0.00144,-0.00173
Our ANN,0.155,0.622,0.182,,,,
Our ANN Nested,0.153,0.62,0.195,,,,
Train Mean,0.168,0.626,0.165,0.023,0.003,0,0.011
Exp Stdev,0.018,0.009,0.033,0.009,0,0,0
EN/RR/PLS Stdev,0.0000177,0.00000313,0.0000108,0.0000105,0.00000324,0.00000555,0.0000118
